YEM,USA,50126
BLR,KAZ,50377
WSM,NZL,50661
COL,ARG,50793
NLD,ESP,51171
HUN,GBR,51198
VEN,ITA,51207
BRA,ARG,51220
MMR,IND,51529
YEM,KWT,51598
PAK,DEU,51609
IRQ,AUS,51779
UKR,MDA,51908
MOZ,MWI,52021
PRT,ZAF,52144
TCD,NGA,52251
MLT,AUS,52346
VNM,CZE,52400
BEL,NLD,52442
GBR,BEL,52458
WBG,ARE,52503
MLI,GAB,52549
ROM,BEL,52700
FJI,NZL,52755
SRB,NLD,53050
BLZ,USA,53099
HUN,CAN,53206
MKD,AUS,53225
IRN,ISR,53236
BRA,GBR,53246
LKA,USA,53321
CAF,ZAR,53385
SWE,USA,53643
LTU,POL,54057
USA,FRA,54129
SOM,SWE,54221
ZAF,NZL,54276
PHL,DEU,54325
LKA,DEU,54325
CHN,RUS,54398
AUT,USA,54591
MNE,TUR,54850
BEN,TGO,54857
CHN,MYS,54980
NZL,GBR,55294
BRB,USA,55384
BRA,FRA,55790
JPN,AUS,55816
JOR,WBG,55929
HKG,SGP,55948
NER,CIV,55979
BGR,GRC,55988
NPL,KWT,56135
MYS,GBR,56318
TGO,CIV,56592
BIH,CHE,56665
BIH,SWE,56804
EST,RUS,56896
NGA,GHA,57056
RWA,BDI,57107
THA,AUS,57176
SEN,ESP,57450
ROM,FRA,57689
BGR,ITA,57794
MKD,CHE,57907
BGR,GBR,58366
BRA,DEU,58400
SYR,DEU,58400
DZA,ESP,58460
IDN,CHN,58639
BLR,LVA,58890
KEN,TZA,59236
CHE,DEU,59759
BLR,LTU,59831
USA,JPN,59991
USA,ITA,60037
POL,ISR,60321
CHL,ESP,60328
NLD,GBR,60414
ZAR,FRA,60634
BEN,CIV,60797
KWT,ARE,60802
SYR,ARE,60926
IND,MYS,61092
IND,DEU,61115
ESP,VEN,61332
ZAR,SSD,61338
AFG,GBR,61438
CPV,PRT,61492
GIN,SLE,61510
ESP,CHE,61912
UZB,USA,62234
CHE,ESP,62358
ETH,SDN,62431
SVK,GBR,62462
SRB,ITA,62564
POL,AUS,62595
CHN,NLD,62639
AUS,NZL,62712
SGP,AUS,63077
ISR,WBG,63142
CHN,IDN,63172
POL,AUT,63200
WBG,DZA,63544
RUS,ESP,63792
DEU,UKR,64015
AUT,CHE,64097
KHM,FRA,64194
BDI,RWA,64198
UGA,GBR,64223
CZE,USA,64354
MYS,USA,64619
ZMB,ZAF,64700
ARG,CHL,64900
KGZ,DEU,65190
CUW,NLD,65383
BLR,USA,65558
EGY,BHR,65607
JPN,CHN,66159
SVK,DEU,66549
TCD,CAF,66690
CYP,GBR,66845
IRQ,LBY,67123
IND,NZL,67176
IRN,SWE,67211
FJI,AUS,67233
DOM,PRI,67415
GEO,UKR,67875
POL,BEL,67900
RUS,FIN,68434
PER,JPN,68642
MKD,ITA,68714
LTU,RUS,68834
IRQ,ISR,68976
UKR,CAN,69048
MAR,USA,69126
MNE,SRB,69127
COG,FRA,69226
MLI,FRA,69246
NPL,MYS,69541
HRV,SVN,69630
AFG,USA,69709
MEX,CAN,69982
MWI,ZAF,70038
KAZ,BLR,70362
RWA,UGA,70411
MAC,HKG,70454
BLR,UZB,70495
LVA,GBR,70654
AUS,USA,71344
USA,CHN,71493
PAK,ITA,71508
USA,KOR,71817
GBR,ITA,72234
NER,BEN,72330
BGR,USA,72362
MOZ,PRT,72541
TUR,MKD,72556
GBR,CHI,73030
HRV,AUS,73165
PAK,ESP,73214
POL,ESP,73564
IRQ,GBR,73726
ROM,AUT,73900
HTI,CAN,73966
BGD,SGP,74074
SRB,FRA,74900
RUS,CAN,75673
IRN,GBR,75773
TCD,SDN,75799
ARG,PRY,75919
MWI,MOZ,76058
JOR,USA,76309
TTO,CAN,76310
